exp,workload,n_traces,speedup_vs_nopf,speedup_vs_pythia,precision,recall
proj_normal,721.gcc_r,7,1.0405,0.926,89.33,71.58
proj_normal,723.llvm_r,6,1.0104,1.0021,88.83,76.38
proj_normal,727.cppcheck_r,12,1.0743,0.9862,99.04,97.83
proj_normal,729.abc_r,26,1.0203,0.9654,95.74,89.75
proj_normal,734.vpr_r,11,1.0221,0.963,90.94,79.26
proj_normal,735.gem5_r,4,1.0009,1.0005,93.66,82.26
proj_normal,750.sealcrypto_r,2,1.0124,0.9801,98.3,96.24
proj_normal,753.ns3_r,24,1.0007,1.0008,93.55,83.99
proj_normal,801.xz_s,4,1.0078,1.0005,93.72,95.36
proj_normal,817.flac_s,42,1.0,1.0,100.0,97.91
proj_normal,821.gcc_s,57,1.0146,0.9772,87.97,74.39
proj_normal,823.llvm_s,87,1.0278,0.9982,95.38,86.9
proj_normal,829.abc_s,8,1.0484,0.9632,94.64,93.0
proj_normal,834.vpr_s,12,1.0243,0.97,90.47,81.35
proj_normal,835.gem5_s,4,1.0001,1.0,91.57,80.39
proj_normal,838.diamond_s,1,1.0,0.9999,97.29,96.06
proj_normal,846.minizinc_s,15,1.0127,0.994,96.57,94.94
proj_normal,853.ns3_s,26,1.0023,1.0103,86.26,77.48
proj_normal,854.graph500_s,3,1.0115,0.999,87.11,81.77
proj_normal_pythia,706.stockfish_r,3,1.0,1.0,,
proj_normal_pythia,707.ntest_r,4,1.0013,1.0003,77.28,74.27
proj_normal_pythia,708.sqlite_r,12,1.1323,1.0207,92.79,84.83
proj_normal_pythia,710.omnetpp_r,24,0.9974,1.0006,81.36,60.59
proj_normal_pythia,714.cpython_r,9,1.0007,1.0,88.29,67.95
proj_normal_pythia,721.gcc_r,7,1.1379,1.0126,77.7,40.89
proj_normal_pythia,723.llvm_r,6,1.0155,1.0072,77.08,54.78
proj_normal_pythia,727.cppcheck_r,12,1.1147,1.0233,87.26,64.92
proj_normal_pythia,729.abc_r,26,1.065,1.0077,81.08,63.63
proj_normal_pythia,734.vpr_r,11,1.0675,1.0058,78.27,51.2
proj_normal_pythia,735.gem5_r,4,1.0009,1.0005,81.68,61.48
proj_normal_pythia,750.sealcrypto_r,2,1.0333,1.0003,89.26,81.3
proj_normal_pythia,753.ns3_r,24,1.0002,1.0003,72.37,58.57
proj_normal_pythia,801.xz_s,4,1.0122,1.0048,88.93,84.85
proj_normal_pythia,817.flac_s,42,1.0,1.0,90.59,74.17
