"rank","TraceName","speedup"
173,"821.gcc_s-oggenc_0012-58B",1.00485300641937
174,"821.gcc_s-lz4hc_0010-23B",1.00486550880933
175,"821.gcc_s-unicodeobject_0016-24B",1.00526825780596
176,"821.gcc_s-unicodeobject_0014-20B",1.00543437382475
177,"846.minizinc_s-gunport_problem2-123B",1.00560874028695
178,"823.llvm_s-passbuilderpipelines_0003-11B",1.00564425982915
179,"823.llvm_s-inst_constrs_3_0017-23B",1.00587819458745
180,"801.xz_s-cld_2700-199B",1.00597088602277
181,"801.xz_s-cld_2700-414B",1.00599280443289
182,"821.gcc_s-lz4hc_0009-11B",1.00606248529821
183,"823.llvm_s-generic_cpu_exec_6_0012-23B",1.00610369461068
184,"823.llvm_s-passbuilderpipelines_0003-1B",1.00616266860512
185,"829.abc_s-bitcoin-359B",1.00636869912894
186,"801.xz_s-cld_2700-49B",1.00687014838676
187,"834.vpr_s-sparct1_route-624B",1.00693007860985
188,"823.llvm_s-standardinstrumentations_0014-8B",1.00766819512448
189,"823.llvm_s-gmodel_0001-14B",1.00766937169556
190,"823.llvm_s-selectiondagbuilder_0007-15B",1.00820778659755
191,"823.llvm_s-dagcombiner_0002-14B",1.00825005315756
192,"821.gcc_s-unicodeobject_0016-22B",1.0082530274185
193,"821.gcc_s-zstd_lazy_0019-3B",1.00858231852242
194,"823.llvm_s-particle_handler_0018-10B",1.01024823067592
195,"846.minizinc_s-yumi_dynamic-119B",1.01050206393395
196,"823.llvm_s-gmodel_0001-18B",1.01075558347918
197,"823.llvm_s-etf_inst3_0011-16B",1.01079723274584
198,"823.llvm_s-grid_tools_0008-28B",1.01102390566646
199,"823.llvm_s-generic_cpu_exec_6_0012-14B",1.01176385274235
200,"834.vpr_s-sparct1_place-24B",1.0118973393223
201,"823.llvm_s-modelsmodule_0016-29B",1.01241584331555
202,"821.gcc_s-unicodeobject_0006-1B",1.01261202066108
203,"823.llvm_s-modelsmodule_0016-38B",1.0129777749676
204,"823.llvm_s-insn_recog_0005-15B",1.01314715326424
205,"846.minizinc_s-yumi_dynamic-118B",1.01328752301589
206,"823.llvm_s-dagcombiner_0006-4B",1.01387995915434
207,"821.gcc_s-unicodeobject_0015-26B",1.01390900816593
208,"854.graph500_s-bfs-1217B",1.01397649969079
209,"846.minizinc_s-yumi_dynamic-256B",1.0143745253031
210,"823.llvm_s-insn_recog_0005-26B",1.01448574399652
211,"829.abc_s-ethernet_fraig-12B",1.015034147683
212,"834.vpr_s-wb_conmax_route-636B",1.01515652557319
213,"853.ns3_s-wifi_mixed_network-146B",1.015374192924
214,"821.gcc_s-lz4hc_0009-12B",1.01564224593219
215,"823.llvm_s-grid_tools_dof_handlers_0009-18B",1.01599862658699
216,"846.minizinc_s-yumi_dynamic-40B",1.01627532270036
217,"821.gcc_s-lz4_0002-39B",1.01649736783569
218,"823.llvm_s-particle_handler_0018-13B",1.01718600666431
219,"823.llvm_s-particle_handler_0015-13B",1.01814996795557
220,"823.llvm_s-modelsmodule_0010-19B",1.01841076931022
221,"823.llvm_s-modelsmodule_0016-19B",1.01875762721989
222,"823.llvm_s-modelsmodule_0004-19B",1.01969281591091
223,"821.gcc_s-lz4hc_0010-14B",1.01975145584439
224,"834.vpr_s-sparct1_route-804B",1.01981579351849
225,"823.llvm_s-modelsmodule_0010-36B",1.01981834712414
226,"823.llvm_s-standardinstrumentations_0014-2B",1.01983937079961
227,"823.llvm_s-modelsmodule_0004-36B",1.02063114655515
228,"823.llvm_s-matrix_free_0019-13B",1.02114901323084
229,"823.llvm_s-etf_inst3_0005-7B",1.02152324937135
230,"823.llvm_s-inst_constrs_3_0017-27B",1.0216681636037
231,"834.vpr_s-sparct1_place-411B",1.0217299306335
232,"823.llvm_s-modelsmodule_0004-24B",1.02220641338508
233,"829.abc_s-ethernet_fraig-186B",1.0244051517136
234,"829.abc_s-bitcoin-645B",1.02450825076856
235,"823.llvm_s-particle_handler_0015-5B",1.02526018735611
236,"823.llvm_s-etf_inst3_0011-10B",1.02558532851337
237,"821.gcc_s-lz4hc_0018-31B",1.02560790273556
238,"823.llvm_s-particle_handler_0018-5B",1.02635421074905
239,"821.gcc_s-lz4hc_0018-20B",1.02636504625916
240,"823.llvm_s-etf_inst3_0005-17B",1.02725166916474
241,"821.gcc_s-lz4hc_0009-6B",1.02739135123477
242,"823.llvm_s-modelsmodule_0010-23B",1.02764525244481
243,"823.llvm_s-inst_constrs_3_0017-35B",1.02982960832042
244,"823.llvm_s-dagcombiner_0002-4B",1.03059241431679
245,"823.llvm_s-etf_inst3_0005-11B",1.03063435279891
246,"823.llvm_s-selectiondagbuilder_0007-4B",1.03076877778759
247,"823.llvm_s-matrix_free_0019-11B",1.03152806640872
248,"823.llvm_s-passbuilderpipelines_0003-2B",1.0316257637066
249,"823.llvm_s-matrix_free_0013-7B",1.03211296309775
250,"821.gcc_s-lz4hc_0007-10B",1.03444443072211
251,"823.llvm_s-matrix_free_0019-7B",1.03446357502532
252,"823.llvm_s-insn_recog_0005-14B",1.03698619917941
253,"823.llvm_s-grid_tools_0008-19B",1.03762260283999
254,"823.llvm_s-etf_inst3_0011-8B",1.03785502575465
255,"829.abc_s-bitcoin-750B",1.04259375422801
256,"823.llvm_s-generic_cpu_exec_6_0012-25B",1.04537184806894
257,"823.llvm_s-grid_tools_dof_handlers_0009-11B",1.04650233661832
258,"823.llvm_s-etf_inst3_0011-14B",1.05077453779667
259,"823.llvm_s-particle_handler_0018-8B",1.06020728833021
