TraceName,ExpName,ipc,precision,recall,Filter
708.sqlite_r-fp_size1000-424B,bw3200_normal_pythia,0.58416,99.54,97.7,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt,0.45542,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt_pythia,0.53765,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw6400_nopf,0.45611,0,0,1
708.sqlite_r-fp_size1000-424B,bw6400_pythia,0.53866,0,0,1
708.sqlite_r-fp_size1000-424B,bw6400_normal,0.50759,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw6400_normal_pythia,0.58535,99.53,97.71,1
708.sqlite_r-fp_size1000-424B,bw6400_xpt,0.45611,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw6400_xpt_pythia,0.53866,NaN,0.0,1
708.sqlite_r-main_size2000-136B,bw200_nopf,0.59372,0,0,1
708.sqlite_r-main_size2000-136B,bw200_pythia,0.5581,0,0,1
708.sqlite_r-main_size2000-136B,bw200_normal,0.58972,93.58,95.81,1
708.sqlite_r-main_size2000-136B,bw200_normal_pythia,0.55001,91.82,94.64,1
708.sqlite_r-main_size2000-136B,bw200_xpt,0.59769,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw200_xpt_pythia,0.56305,66.94,0.07,1
708.sqlite_r-main_size2000-136B,bw400_nopf,0.75184,0,0,1
708.sqlite_r-main_size2000-136B,bw400_pythia,0.76305,0,0,1
708.sqlite_r-main_size2000-136B,bw400_normal,0.76353,93.58,95.81,1
708.sqlite_r-main_size2000-136B,bw400_normal_pythia,0.76785,91.85,94.71,1
708.sqlite_r-main_size2000-136B,bw400_xpt,0.75758,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw400_xpt_pythia,0.76719,66.05,0.07,1
708.sqlite_r-main_size2000-136B,bw800_nopf,0.81379,0,0,1
708.sqlite_r-main_size2000-136B,bw800_pythia,0.84983,0,0,1
708.sqlite_r-main_size2000-136B,bw800_normal,0.84044,93.6,95.82,1
708.sqlite_r-main_size2000-136B,bw800_normal_pythia,0.86376,91.89,94.67,1
708.sqlite_r-main_size2000-136B,bw800_xpt,0.8202,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw800_xpt_pythia,0.85348,61.96,0.08,1
708.sqlite_r-main_size2000-136B,bw1600_nopf,0.82989,0,0,1
708.sqlite_r-main_size2000-136B,bw1600_pythia,0.87162,0,0,1
708.sqlite_r-main_size2000-136B,bw1600_normal,0.86265,93.6,95.82,1
708.sqlite_r-main_size2000-136B,bw1600_normal_pythia,0.88828,91.99,92.21,1
708.sqlite_r-main_size2000-136B,bw1600_xpt,0.83612,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw1600_xpt_pythia,0.87222,61.79,0.07,1
708.sqlite_r-main_size2000-136B,bw3200_nopf,0.83253,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_pythia,0.87649,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_normal,0.8709,93.6,95.82,1
708.sqlite_r-main_size2000-136B,bw3200_normal_pythia,0.89493,92.26,92.07,1
708.sqlite_r-main_size2000-136B,bw3200_xpt,0.83777,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw3200_xpt_pythia,0.87707,61.79,0.07,1
708.sqlite_r-main_size2000-136B,bw6400_nopf,0.83387,0,0,1
708.sqlite_r-main_size2000-136B,bw6400_pythia,0.87893,0,0,1
708.sqlite_r-main_size2000-136B,bw6400_normal,0.87419,93.6,95.82,1
708.sqlite_r-main_size2000-136B,bw6400_normal_pythia,0.89817,92.32,92.17,1
708.sqlite_r-main_size2000-136B,bw6400_xpt,0.83907,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw6400_xpt_pythia,0.87957,61.79,0.07,1
708.sqlite_r-main_size2000-499B,bw200_nopf,0.86049,0,0,1
708.sqlite_r-main_size2000-499B,bw200_pythia,0.79492,0,0,1
708.sqlite_r-main_size2000-499B,bw200_normal,0.86593,89.32,95.52,1
708.sqlite_r-main_size2000-499B,bw200_normal_pythia,0.79988,89.37,96.95,1
708.sqlite_r-main_size2000-499B,bw200_xpt,0.86065,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw200_xpt_pythia,0.79492,NaN,0.0,1
708.sqlite_r-main_size2000-499B,bw400_nopf,0.97765,0,0,1
