TraceName,ExpName,ipc,precision,recall,Filter
721.gcc_r-ref32_O3_inline12000-390B,bw3200_pythia,0.43248,0,0,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_normal,0.35993,96.89,98.37,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_normal_pythia,0.45256,83.63,67.92,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_xpt,0.33124,99.26,23.13,1
721.gcc_r-ref32_O3_inline12000-390B,bw3200_xpt_pythia,0.43592,55.79,1.16,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_nopf,0.56878,0,0,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_pythia,0.71525,0,0,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_normal,0.60448,94.42,94.12,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_normal_pythia,0.72144,83.71,55.63,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_xpt,0.58172,96.58,28.19,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_xpt_pythia,0.71594,66.06,3.45,1
722.palm_r-atmos-1670B,bw3200_nopf,1.30718,0,0,1
722.palm_r-atmos-1670B,bw3200_pythia,1.58345,0,0,1
722.palm_r-atmos-1670B,bw3200_normal,1.37118,99.62,99.35,1
722.palm_r-atmos-1670B,bw3200_normal_pythia,1.58655,72.39,44.64,1
722.palm_r-atmos-1670B,bw3200_xpt,1.34082,99.77,48.75,1
722.palm_r-atmos-1670B,bw3200_xpt_pythia,1.58341,59.5,15.24,1
722.palm_r-atmos-334B,bw3200_nopf,1.135,0,0,1
722.palm_r-atmos-334B,bw3200_pythia,1.29078,0,0,1
722.palm_r-atmos-334B,bw3200_normal,1.14753,99.98,99.96,1
722.palm_r-atmos-334B,bw3200_normal_pythia,1.29333,93.2,83.66,1
722.palm_r-atmos-334B,bw3200_xpt,1.1323,99.88,47.87,1
722.palm_r-atmos-334B,bw3200_xpt_pythia,1.28927,80.09,30.25,1
723.llvm_r-codegen-388B,bw3200_nopf,0.56622,0,0,1
723.llvm_r-codegen-388B,bw3200_pythia,0.56752,0,0,1
723.llvm_r-codegen-388B,bw3200_normal,0.61891,98.82,97.7,1
723.llvm_r-codegen-388B,bw3200_normal_pythia,0.6188,90.94,88.07,1
723.llvm_r-codegen-388B,bw3200_xpt,0.56647,98.92,0.48,1
723.llvm_r-codegen-388B,bw3200_xpt_pythia,0.56754,74.01,0.15,1
727.cppcheck_r-738_diamond-320B,bw3200_nopf,1.44374,0,0,1
727.cppcheck_r-738_diamond-320B,bw3200_pythia,1.5477,0,0,1
727.cppcheck_r-738_diamond-320B,bw3200_normal,1.55846,99.72,98.82,1
727.cppcheck_r-738_diamond-320B,bw3200_normal_pythia,1.5713,91.58,62.7,1
727.cppcheck_r-738_diamond-320B,bw3200_xpt,1.46558,98.6,20.03,1
727.cppcheck_r-738_diamond-320B,bw3200_xpt_pythia,1.54771,0.0,0.0,1
727.cppcheck_r-738_diamond-4B,bw3200_nopf,1.30987,0,0,1
727.cppcheck_r-738_diamond-4B,bw3200_pythia,1.52555,0,0,1
727.cppcheck_r-738_diamond-4B,bw3200_normal,1.46525,99.67,99.71,1
727.cppcheck_r-738_diamond-4B,bw3200_normal_pythia,1.57143,91.83,69.1,1
727.cppcheck_r-738_diamond-4B,bw3200_xpt,1.32194,99.95,14.51,1
727.cppcheck_r-738_diamond-4B,bw3200_xpt_pythia,1.5251,53.85,0.0,1
727.cppcheck_r-738_diamond-63B,bw3200_nopf,1.43908,0,0,1
727.cppcheck_r-738_diamond-63B,bw3200_pythia,1.5404,0,0,1
727.cppcheck_r-738_diamond-63B,bw3200_normal,1.5525,99.69,98.91,1
727.cppcheck_r-738_diamond-63B,bw3200_normal_pythia,1.55674,88.52,57.93,1
727.cppcheck_r-738_diamond-63B,bw3200_xpt,1.46008,98.9,20.12,1
727.cppcheck_r-738_diamond-63B,bw3200_xpt_pythia,1.54049,54.71,0.63,1
727.cppcheck_r-747_dealii-218B,bw3200_nopf,0.74831,0,0,1
727.cppcheck_r-747_dealii-218B,bw3200_pythia,0.88083,0,0,1
727.cppcheck_r-747_dealii-218B,bw3200_normal,0.8673,99.75,99.6,1
727.cppcheck_r-747_dealii-218B,bw3200_normal_pythia,0.92937,89.51,75.98,1
727.cppcheck_r-747_dealii-218B,bw3200_xpt,0.77216,99.91,17.69,1
727.cppcheck_r-747_dealii-218B,bw3200_xpt_pythia,0.89964,88.55,1.42,1
727.cppcheck_r-747_dealii-21B,bw3200_nopf,0.76873,0,0,1
727.cppcheck_r-747_dealii-21B,bw3200_pythia,0.95865,0,0,1
727.cppcheck_r-747_dealii-21B,bw3200_normal,0.90308,99.66,99.73,1
727.cppcheck_r-747_dealii-21B,bw3200_normal_pythia,1.11383,91.73,74.94,1
727.cppcheck_r-747_dealii-21B,bw3200_xpt,0.78213,100.0,12.5,1
727.cppcheck_r-747_dealii-21B,bw3200_xpt_pythia,0.98261,68.07,4.12,1
727.cppcheck_r-747_dealii-3B,bw3200_nopf,0.59676,0,0,1
727.cppcheck_r-747_dealii-3B,bw3200_pythia,0.76693,0,0,1
727.cppcheck_r-747_dealii-3B,bw3200_normal,0.71329,98.36,99.31,1
727.cppcheck_r-747_dealii-3B,bw3200_normal_pythia,0.79603,93.68,82.87,1
727.cppcheck_r-747_dealii-3B,bw3200_xpt,0.60748,99.0,10.66,1
727.cppcheck_r-747_dealii-3B,bw3200_xpt_pythia,0.74317,93.27,2.37,1
727.cppcheck_r-770_7z-38B,bw3200_nopf,1.14416,0,0,1
727.cppcheck_r-770_7z-38B,bw3200_pythia,1.20226,0,0,1
727.cppcheck_r-770_7z-38B,bw3200_normal,1.26361,93.1,88.7,1
727.cppcheck_r-770_7z-38B,bw3200_normal_pythia,1.27548,91.99,68.85,1
727.cppcheck_r-770_7z-38B,bw3200_xpt,1.15501,95.1,12.5,1
727.cppcheck_r-770_7z-38B,bw3200_xpt_pythia,1.20226,NaN,0.0,1
727.cppcheck_r-770_7z-404B,bw3200_nopf,0.7816,0,0,1
727.cppcheck_r-770_7z-404B,bw3200_pythia,0.91369,0,0,1
727.cppcheck_r-770_7z-404B,bw3200_normal,0.83222,99.66,99.76,1
727.cppcheck_r-770_7z-404B,bw3200_normal_pythia,0.91017,86.17,82.01,1
727.cppcheck_r-770_7z-404B,bw3200_xpt,0.79697,99.97,18.0,1
727.cppcheck_r-770_7z-404B,bw3200_xpt_pythia,0.89024,57.03,2.02,1
727.cppcheck_r-770_7z-57B,bw3200_nopf,1.16855,0,0,1
727.cppcheck_r-770_7z-57B,bw3200_pythia,1.36188,0,0,1
727.cppcheck_r-770_7z-57B,bw3200_normal,1.29722,99.52,99.31,1
727.cppcheck_r-770_7z-57B,bw3200_normal_pythia,1.42905,91.83,69.02,1
727.cppcheck_r-770_7z-57B,bw3200_xpt,1.18269,99.93,15.53,1
727.cppcheck_r-770_7z-57B,bw3200_xpt_pythia,1.3579,60.0,0.02,1
729.abc_r-des_system90-103B,bw3200_nopf,0.62405,0,0,1
729.abc_r-des_system90-103B,bw3200_pythia,0.65539,0,0,1
729.abc_r-des_system90-103B,bw3200_normal,0.66117,94.42,99.94,1
729.abc_r-des_system90-103B,bw3200_normal_pythia,0.68892,91.31,98.21,1
729.abc_r-des_system90-103B,bw3200_xpt,0.62786,99.97,9.07,1
729.abc_r-des_system90-103B,bw3200_xpt_pythia,0.65554,77.85,0.02,1
729.abc_r-des_system90-32B,bw3200_nopf,0.71589,0,0,1
729.abc_r-des_system90-32B,bw3200_pythia,0.77307,0,0,1
729.abc_r-des_system90-32B,bw3200_normal,0.76094,87.01,96.99,1
729.abc_r-des_system90-32B,bw3200_normal_pythia,0.81238,85.69,92.75,1
729.abc_r-des_system90-32B,bw3200_xpt,0.72141,99.69,10.94,1
729.abc_r-des_system90-32B,bw3200_xpt_pythia,0.77315,57.22,0.46,1
729.abc_r-des_system90-75B,bw3200_nopf,0.66758,0,0,1
729.abc_r-des_system90-75B,bw3200_pythia,0.89735,0,0,1
729.abc_r-des_system90-75B,bw3200_normal,0.71514,99.74,99.75,1
