TraceName,ExpName,ipc,precision,recall,Filter
823.llvm_s-grid_tools_0008-19B,normal,0.87289,93.47,97.55,1
821.gcc_s-lz4hc_0009-6B,normal,0.62024,82.64,82.4,1
823.llvm_s-inst_constrs_3_0017-27B,normal,1.17441,98.22,96.71,1
800.pot3d_s-pot3d_n1-1067B,normal,0.24246,99.56,99.61,1
734.vpr_r-smithwaterman_place-213B,normal,0.61381,73.64,54.61,1
729.abc_r-des_system90-32B,normal,0.76094,87.01,96.99,1
823.llvm_s-particle_handler_0015-5B,normal,0.94695,96.3,98.88,1
737.gmsh_r-torus-33B,normal,0.37835,89.09,97.09,1
823.llvm_s-particle_handler_0018-8B,normal,0.65908,92.99,98.21,1
823.llvm_s-grid_tools_dof_handlers_0009-11B,normal,0.80683,97.1,99.72,1
820.cloverleaf_s-default-12184B,normal,1.47445,99.79,99.77,1
822.palm_s-atmos-6227B,normal,1.55742,100.0,100.0,1
721.gcc_r-gcc_pp_O2_fpic-309B,normal,0.57935,91.71,85.12,1
727.cppcheck_r-738_diamond-63B,normal,1.5525,99.69,98.91,1
709.cactus_r-shifted_gauge_wave-8B,normal,0.71516,97.78,96.53,1
736.ocio_r-heavy_transform-65B,normal,1.20346,100.0,100.0,1
737.gmsh_r-spec_hxt-62B,normal,1.50542,98.18,99.7,1
809.cactus_s-shifted_gauge_wave-6972B,normal,0.73244,96.23,73.08,1
749.fotonik3d_r-default-45B,normal,0.33476,98.91,99.66,1
823.llvm_s-modelsmodule_0010-23B,normal,1.28856,97.29,99.61,1
709.cactus_r-shifted_gauge_wave-824B,normal,0.91312,98.05,97.75,1
737.gmsh_r-projection-6B,normal,0.4877,97.93,97.28,1
823.llvm_s-insn_recog_0005-14B,normal,0.57815,96.18,98.62,1
800.pot3d_s-pot3d_n1-1519B,normal,0.23412,99.64,99.79,1
865.roms_s-benchmark3-7363B,normal,0.46675,93.69,86.68,1
849.fotonik3d_s-default-1927B,normal,0.58599,100.0,100.0,1
737.gmsh_r-mediterranean-149B,normal,2.17363,99.75,99.24,1
823.llvm_s-etf_inst3_0011-8B,normal,0.62896,95.41,97.43,1
723.llvm_r-codegen-388B,normal,0.61891,98.82,97.7,1
737.gmsh_r-choi-225B,normal,0.91953,90.61,92.81,1
881.neutron_s-rsbench_history-421B,normal,1.01841,99.95,99.99,1
823.llvm_s-selectiondagbuilder_0007-4B,normal,0.69285,91.42,92.31,1
823.llvm_s-generic_cpu_exec_6_0012-25B,normal,0.60279,95.49,96.05,1
846.minizinc_s-yumi_dynamic-256B,normal,0.33383,92.39,85.29,1
727.cppcheck_r-738_diamond-4B,normal,1.46525,99.67,99.71,1
727.cppcheck_r-747_dealii-218B,normal,0.8673,99.75,99.6,1
821.gcc_s-lz4hc_0010-14B,normal,0.61715,84.45,77.62,1
721.gcc_r-ref32_O3_inline12000-113B,normal,0.34398,93.5,98.66,1
865.roms_s-benchmark3-3753B,normal,1.08468,99.98,99.97,1
721.gcc_r-ref32_O3_inline12000-390B,normal,0.35993,96.89,98.37,1
708.sqlite_r-fp_size1000-424B,normal,0.50672,99.65,100.0,1
727.cppcheck_r-738_diamond-320B,normal,1.55846,99.72,98.82,1
749.fotonik3d_r-default-599B,normal,0.31599,98.93,99.61,1
736.ocio_r-lut1d_halfdom-43B,normal,1.45934,100.0,100.0,1
854.graph500_s-bfs-3313B,normal,0.54608,83.02,73.89,1
737.gmsh_r-p19-70B,normal,0.90312,83.72,88.76,1
823.llvm_s-passbuilderpipelines_0003-2B,normal,0.8528,90.92,91.57,1
846.minizinc_s-yumi_dynamic-40B,normal,0.59159,81.09,70.93,1
853.ns3_s-tcp_validation-187B,normal,0.13303,72.32,51.71,1
854.graph500_s-bfs-1217B,normal,0.08215,86.34,99.65,1
820.cloverleaf_s-default-2345B,normal,0.63362,98.74,96.7,1
709.cactus_r-shifted_gauge_wave-26B,normal,0.83287,99.06,98.61,1
