TraceName,ExpName,dram_read_reqs,Filter
727.cppcheck_r-738_diamond-4B,bw3200_nopf,2024437,1
727.cppcheck_r-738_diamond-4B,bw3200_pythia,3000767,1
727.cppcheck_r-738_diamond-4B,bw3200_xpt,2023682,1
727.cppcheck_r-738_diamond-4B,bw3200_xpt_pythia,2972231,1
727.cppcheck_r-738_diamond-4B,bw3200_normal,2035715,1
727.cppcheck_r-738_diamond-4B,bw3200_normal_pythia,3054642,1
727.cppcheck_r-738_diamond-63B,bw3200_nopf,1146854,1
727.cppcheck_r-738_diamond-63B,bw3200_pythia,2038415,1
727.cppcheck_r-738_diamond-63B,bw3200_xpt,1149835,1
727.cppcheck_r-738_diamond-63B,bw3200_xpt_pythia,2040525,1
727.cppcheck_r-738_diamond-63B,bw3200_normal,1150389,1
727.cppcheck_r-738_diamond-63B,bw3200_normal_pythia,2066813,1
727.cppcheck_r-747_dealii-218B,bw3200_nopf,5527460,1
727.cppcheck_r-747_dealii-218B,bw3200_pythia,7745669,1
727.cppcheck_r-747_dealii-218B,bw3200_xpt,5526263,1
727.cppcheck_r-747_dealii-218B,bw3200_xpt_pythia,7267636,1
727.cppcheck_r-747_dealii-218B,bw3200_normal,5540372,1
727.cppcheck_r-747_dealii-218B,bw3200_normal_pythia,7801686,1
727.cppcheck_r-747_dealii-21B,bw3200_nopf,4185101,1
727.cppcheck_r-747_dealii-21B,bw3200_pythia,5667917,1
727.cppcheck_r-747_dealii-21B,bw3200_xpt,4182680,1
727.cppcheck_r-747_dealii-21B,bw3200_xpt_pythia,5641270,1
727.cppcheck_r-747_dealii-21B,bw3200_normal,4199452,1
727.cppcheck_r-747_dealii-21B,bw3200_normal_pythia,6389176,1
727.cppcheck_r-747_dealii-3B,bw3200_nopf,6411518,1
727.cppcheck_r-747_dealii-3B,bw3200_pythia,9436055,1
727.cppcheck_r-747_dealii-3B,bw3200_xpt,6415299,1
727.cppcheck_r-747_dealii-3B,bw3200_xpt_pythia,9426076,1
727.cppcheck_r-747_dealii-3B,bw3200_normal,6527823,1
727.cppcheck_r-747_dealii-3B,bw3200_normal_pythia,9862715,1
727.cppcheck_r-770_7z-38B,bw3200_nopf,2172498,1
727.cppcheck_r-770_7z-38B,bw3200_pythia,5276094,1
727.cppcheck_r-770_7z-38B,bw3200_xpt,2152589,1
727.cppcheck_r-770_7z-38B,bw3200_xpt_pythia,5276094,1
727.cppcheck_r-770_7z-38B,bw3200_normal,2317586,1
727.cppcheck_r-770_7z-38B,bw3200_normal_pythia,5372965,1
727.cppcheck_r-770_7z-404B,bw3200_nopf,3637120,1
727.cppcheck_r-770_7z-404B,bw3200_pythia,4706647,1
727.cppcheck_r-770_7z-404B,bw3200_xpt,3636930,1
727.cppcheck_r-770_7z-404B,bw3200_xpt_pythia,4738345,1
727.cppcheck_r-770_7z-404B,bw3200_normal,3644472,1
727.cppcheck_r-770_7z-404B,bw3200_normal_pythia,5035414,1
727.cppcheck_r-770_7z-57B,bw3200_nopf,2475786,1
727.cppcheck_r-770_7z-57B,bw3200_pythia,3557205,1
727.cppcheck_r-770_7z-57B,bw3200_xpt,2474936,1
727.cppcheck_r-770_7z-57B,bw3200_xpt_pythia,3548861,1
727.cppcheck_r-770_7z-57B,bw3200_normal,2490126,1
727.cppcheck_r-770_7z-57B,bw3200_normal_pythia,3757931,1
729.abc_r-des_system90-103B,bw3200_nopf,4464205,1
729.abc_r-des_system90-103B,bw3200_pythia,6631904,1
729.abc_r-des_system90-103B,bw3200_xpt,4464315,1
729.abc_r-des_system90-103B,bw3200_xpt_pythia,6629868,1
729.abc_r-des_system90-103B,bw3200_normal,4732745,1
729.abc_r-des_system90-103B,bw3200_normal_pythia,6924553,1
729.abc_r-des_system90-32B,bw3200_nopf,2848613,1
729.abc_r-des_system90-32B,bw3200_pythia,4106388,1
729.abc_r-des_system90-32B,bw3200_xpt,2847597,1
729.abc_r-des_system90-32B,bw3200_xpt_pythia,4106974,1
729.abc_r-des_system90-32B,bw3200_normal,3139846,1
729.abc_r-des_system90-32B,bw3200_normal_pythia,4336851,1
729.abc_r-des_system90-75B,bw3200_nopf,14182314,1
729.abc_r-des_system90-75B,bw3200_pythia,14753840,1
729.abc_r-des_system90-75B,bw3200_xpt,14183607,1
729.abc_r-des_system90-75B,bw3200_xpt_pythia,15444729,1
729.abc_r-des_system90-75B,bw3200_normal,14208697,1
729.abc_r-des_system90-75B,bw3200_normal_pythia,15559679,1
729.abc_r-des_system90-77B,bw3200_nopf,4767626,1
729.abc_r-des_system90-77B,bw3200_pythia,4805993,1
729.abc_r-des_system90-77B,bw3200_xpt,4763646,1
729.abc_r-des_system90-77B,bw3200_xpt_pythia,4804590,1
729.abc_r-des_system90-77B,bw3200_normal,4763527,1
729.abc_r-des_system90-77B,bw3200_normal_pythia,4842035,1
729.abc_r-des_system90-88B,bw3200_nopf,3748069,1
729.abc_r-des_system90-88B,bw3200_pythia,3778309,1
729.abc_r-des_system90-88B,bw3200_xpt,3745066,1
729.abc_r-des_system90-88B,bw3200_xpt_pythia,3777885,1
729.abc_r-des_system90-88B,bw3200_normal,3745338,1
729.abc_r-des_system90-88B,bw3200_normal_pythia,3796347,1
729.abc_r-mcml-19B,bw3200_nopf,11208629,1
729.abc_r-mcml-19B,bw3200_pythia,13085318,1
729.abc_r-mcml-19B,bw3200_xpt,11221841,1
729.abc_r-mcml-19B,bw3200_xpt_pythia,13438491,1
729.abc_r-mcml-19B,bw3200_normal,11519607,1
729.abc_r-mcml-19B,bw3200_normal_pythia,13612150,1
734.vpr_r-jpeg_place-76B,bw3200_nopf,3873957,1
734.vpr_r-jpeg_place-76B,bw3200_pythia,4921088,1
734.vpr_r-jpeg_place-76B,bw3200_xpt,3879693,1
734.vpr_r-jpeg_place-76B,bw3200_xpt_pythia,4933847,1
734.vpr_r-jpeg_place-76B,bw3200_normal,4012206,1
734.vpr_r-jpeg_place-76B,bw3200_normal_pythia,5140465,1
734.vpr_r-jpeg_route-49B,bw3200_nopf,4681409,1
734.vpr_r-jpeg_route-49B,bw3200_pythia,5516053,1
734.vpr_r-jpeg_route-49B,bw3200_xpt,4681980,1
734.vpr_r-jpeg_route-49B,bw3200_xpt_pythia,5656579,1
734.vpr_r-jpeg_route-49B,bw3200_normal,4691504,1
734.vpr_r-jpeg_route-49B,bw3200_normal_pythia,5957117,1
734.vpr_r-smithwaterman_place-213B,bw3200_nopf,1851413,1
734.vpr_r-smithwaterman_place-213B,bw3200_pythia,3191582,1
734.vpr_r-smithwaterman_place-213B,bw3200_xpt,1848439,1
734.vpr_r-smithwaterman_place-213B,bw3200_xpt_pythia,3191582,1
734.vpr_r-smithwaterman_place-213B,bw3200_normal,2146047,1
734.vpr_r-smithwaterman_place-213B,bw3200_normal_pythia,3385813,1
736.ocio_r-heavy_transform-65B,bw3200_nopf,4307853,1
736.ocio_r-heavy_transform-65B,bw3200_pythia,4308149,1
736.ocio_r-heavy_transform-65B,bw3200_xpt,4306852,1
736.ocio_r-heavy_transform-65B,bw3200_xpt_pythia,4322663,1
736.ocio_r-heavy_transform-65B,bw3200_normal,4306835,1
736.ocio_r-heavy_transform-65B,bw3200_normal_pythia,4369885,1
736.ocio_r-lut1d_halfdom-43B,bw3200_nopf,5674356,1
736.ocio_r-lut1d_halfdom-43B,bw3200_pythia,5684671,1
736.ocio_r-lut1d_halfdom-43B,bw3200_xpt,5672308,1
736.ocio_r-lut1d_halfdom-43B,bw3200_xpt_pythia,5685131,1
736.ocio_r-lut1d_halfdom-43B,bw3200_normal,5672309,1
736.ocio_r-lut1d_halfdom-43B,bw3200_normal_pythia,5701621,1
736.ocio_r-lut1d_halfdom-6B,bw3200_nopf,6923860,1
736.ocio_r-lut1d_halfdom-6B,bw3200_pythia,6931863,1
736.ocio_r-lut1d_halfdom-6B,bw3200_xpt,6919764,1
736.ocio_r-lut1d_halfdom-6B,bw3200_xpt_pythia,6937029,1
736.ocio_r-lut1d_halfdom-6B,bw3200_normal,6919767,1
736.ocio_r-lut1d_halfdom-6B,bw3200_normal_pythia,7024023,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_nopf,8490868,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_pythia,8491661,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_xpt,8490868,1
