TraceName,ExpName,ipc,precision,recall,Filter
823.llvm_s-matrix_free_0013-7B,bw3200_pythia,0.68695,0,0,1
821.gcc_s-lz4_0002-39B,bw3200_pythia,0.80922,0,0,1
854.graph500_s-bfs-1217B,bw3200_pythia,0.08085,0,0,1
737.gmsh_r-gasdis-121B,bw3200_pythia,1.24564,0,0,1
765.roms_r-benchmark2-871B,bw3200_pythia,0.70144,0,0,1
823.llvm_s-dagcombiner_0002-4B,bw3200_pythia,0.77699,0,0,1
727.cppcheck_r-738_diamond-63B,bw3200_pythia,1.5404,0,0,1
823.llvm_s-dagcombiner_0006-4B,bw3200_pythia,0.79323,0,0,1
729.abc_r-des_system90-32B,bw3200_pythia,0.77307,0,0,1
849.fotonik3d_s-default-11846B,bw3200_pythia,0.96675,0,0,1
822.palm_s-atmos-4359B,bw3200_pythia,1.79302,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_pythia,0.87649,0,0,1
854.graph500_s-bfs-3313B,bw3200_pythia,0.5414,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_pythia,1.08084,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_pythia,0.92134,0,0,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_pythia,0.73336,0,0,1
821.gcc_s-lz4hc_0007-10B,bw3200_pythia,0.80971,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_pythia,0.33688,0,0,1
820.cloverleaf_s-default-11785B,bw3200_pythia,2.06589,0,0,1
823.llvm_s-modelsmodule_0010-23B,bw3200_pythia,1.30583,0,0,1
823.llvm_s-insn_recog_0005-14B,bw3200_pythia,0.67025,0,0,1
723.llvm_r-codegen-388B,bw3200_pythia,0.56752,0,0,1
821.gcc_s-lz4hc_0010-23B,bw3200_pythia,0.79745,0,0,1
800.pot3d_s-pot3d_n1-2544B,bw3200_pythia,0.28541,0,0,1
881.neutron_s-xsbench_event_unionized-1137B,bw3200_pythia,2.0694,0,0,1
823.llvm_s-inst_constrs_3_0017-27B,bw3200_pythia,1.15792,0,0,1
729.abc_r-des_system90-75B,bw3200_pythia,0.89735,0,0,1
800.pot3d_s-pot3d_n1-1067B,bw3200_pythia,0.26171,0,0,1
821.gcc_s-lz4hc_0018-31B,bw3200_pythia,0.9212,0,0,1
822.palm_s-atmos-35579B,bw3200_pythia,1.77438,0,0,1
736.ocio_r-lut1d_halfdom-6B,bw3200_pythia,1.23846,0,0,1
823.llvm_s-particle_handler_0018-5B,bw3200_pythia,0.9452,0,0,1
749.fotonik3d_r-default-128B,bw3200_pythia,0.41502,0,0,1
811.tealeaf_s-default-15369B,bw3200_pythia,1.54175,0,0,1
823.llvm_s-inst_constrs_3_0017-35B,bw3200_pythia,1.3557,0,0,1
823.llvm_s-grid_tools_dof_handlers_0009-11B,bw3200_pythia,0.82598,0,0,1
729.abc_r-des_system90-77B,bw3200_pythia,1.64838,0,0,1
829.abc_s-bitcoin-750B,bw3200_pythia,0.81303,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_pythia,1.08667,0,0,1
823.llvm_s-particle_handler_0015-5B,bw3200_pythia,0.94259,0,0,1
823.llvm_s-generic_cpu_exec_6_0012-25B,bw3200_pythia,0.6266,0,0,1
729.abc_r-des_system90-103B,bw3200_pythia,0.65539,0,0,1
822.palm_s-atmos-2602B,bw3200_pythia,1.76798,0,0,1
737.gmsh_r-spec_hxt-62B,bw3200_pythia,1.51415,0,0,1
846.minizinc_s-yumi_dynamic-118B,bw3200_pythia,0.52681,0,0,1
846.minizinc_s-yumi_dynamic-40B,bw3200_pythia,0.55237,0,0,1
823.llvm_s-etf_inst3_0011-10B,bw3200_pythia,1.24759,0,0,1
734.vpr_r-smithwaterman_place-213B,bw3200_pythia,0.64459,0,0,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_pythia,0.87013,0,0,1
820.cloverleaf_s-default-11714B,bw3200_pythia,1.27634,0,0,1
823.llvm_s-grid_tools_0008-19B,bw3200_pythia,0.88803,0,0,1
849.fotonik3d_s-default-1927B,bw3200_pythia,0.58998,0,0,1
727.cppcheck_r-770_7z-404B,bw3200_pythia,0.91369,0,0,1
829.abc_s-bitcoin-645B,bw3200_pythia,1.16777,0,0,1
737.gmsh_r-gasdis-149B,bw3200_pythia,0.77128,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_pythia,0.53765,0,0,1
737.gmsh_r-p19-70B,bw3200_pythia,0.89846,0,0,1
729.abc_r-des_system90-88B,bw3200_pythia,1.76867,0,0,1
749.fotonik3d_r-default-651B,bw3200_pythia,0.3891,0,0,1
